Claim_ID,NM_CUST,Store Name,ServiceAddress,ServiceUnit,ServiceCity,ServiceState,ServiceZip,Manufacturer,ImplementDesc,ModelNumber
SDGE-2018-3245-10876241-3660971,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in R30 12 Watt,BR30DMHO/927CA/2
SDGE-2018-3245-10876241-3660971S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in R30 12 Watt,BR30DMHO/927CA/2
SDGE-2018-3245-10876241-8906655,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in BR30 7 Watt ,BR30DM/927CA/3
SDGE-2018-3245-10876241-8906655S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in BR30 7 Watt ,BR30DM/927CA/3
SDGE-2018-3245-10876241-8906656,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in BR30 7 Watt ,BR30DM/950CA/3
SDGE-2018-3245-10876241-8906656S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in BR30 7 Watt ,BR30DM/950CA/3
SDGE-2018-3245-10882560-8910189,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED - RefR 9 Watt,BR40DM/927CA/2
SDGE-2018-3245-10882560-8910189S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED - RefR 9 Watt,BR40DM/927CA/2
SDGE-2018-3245-10882560-8910190,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED - RefR 9 Watt,BR40DM/950CA/2
SDGE-2018-3245-10882560-8910190S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED - RefR 9 Watt,BR40DM/950CA/2
SDGE-2018-3245-10882560-8910193,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in R30 12 Watt,BR30DMHO/927CA/2
SDGE-2018-3245-10882560-8910193S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in R30 12 Watt,BR30DMHO/927CA/2
SDGE-2018-3245-10882560-8910194,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in R30 12 Watt,BR30DMHO/950CA/2
SDGE-2018-3245-10882560-8910194S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in R30 12 Watt,BR30DMHO/950CA/2
SDGE-2018-3245-10882560-8924303,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in BR30 7 Watt ,BR30DM/927CA/3
SDGE-2018-3245-10882560-8924303S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in BR30 7 Watt ,BR30DM/927CA/3
SDGE-2018-3245-10882560-8924304,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in BR30 7 Watt ,BR30DM/950CA/3
SDGE-2018-3245-10882560-8924304S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in BR30 7 Watt ,BR30DM/950CA/3
SDGE-2018-3245-10887635-8951798,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Recessed Downlight 14 Watt,TRDL6-1604000FH50-12DE26-1-*
SDGE-2018-3245-10887635-8951798S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial-LED Recessed Downlight 14 Watt,TRDL6-1604000FH50-12DE26-1-*
SDGE-2018-3245-10887635-8954307,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Recessed Downlight 14 Watt,TRDL6-1104000FH50-12DE26-1-*
SDGE-2018-3245-10887635-8954307S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial-LED Recessed Downlight 14 Watt,TRDL6-1104000FH50-12DE26-1-*
SDGE-2018-3245-10887881-8955043,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Screw-in BR30 8 Watt,TBR30-06530FLFH25-12DE26-1-*
SDGE-2018-3245-10887881-8955043S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial-LED Screw-in BR30 8 Watt,TBR30-06530FLFH25-12DE26-1-*
SDGE-2018-3245-10889140-8961634,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10889140-8961634S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10889140-8961635,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10889140-8961635S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10889140-9106955,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10889140-9106955S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10889140-9106956,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 14 to <15 Watts,
SDGE-2018-3245-10889140-9106956S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 14 to <15 Watts,
SDGE-2018-3245-10889140-9106957,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 21 to <23 Watts,
SDGE-2018-3245-10889140-9106957S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 21 to <23 Watts,
SDGE-2018-3245-10919730-9159278,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10919730-9159278S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10919730-9159279,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 14 to <15 Watts,
SDGE-2018-3245-10919730-9159279S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 14 to <15 Watts,
SDGE-2018-3245-10919730-9159280,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 21 to <23 Watts,
SDGE-2018-3245-10919730-9159280S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 21 to <23 Watts,
SDGE-2018-3245-10919730-9159281,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10919730-9159281S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10920660-9160716,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10920660-9160716S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10920660-9160717,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10920660-9160717S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10922423-9119468,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10922423-9119468S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10922423-9119469,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 14 to <15 Watts,
SDGE-2018-3245-10922423-9119469S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 14 to <15 Watts,
SDGE-2018-3245-10922423-9119470,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10922423-9119470S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10922627-9121374,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Can Retrofit: 11 to <12 Watts,LEDR56/927CA/MED/2
SDGE-2018-3245-10922627-9121374S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Can Retrofit: 11 to <12 Watts,LEDR56/927CA/MED/2
SDGE-2018-3245-10922627-9121375,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Can Retrofit: 9 to <10 Watts,
SDGE-2018-3245-10922627-9121375S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Can Retrofit: 9 to <10 Watts,
SDGE-2018-3245-10922627-9121376,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Candelabra: >=5 Watt ,BPETC60927CAFIL/2/RP
SDGE-2018-3245-10922627-9121376S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Candelabra: >=5 Watt ,BPETC60927CAFIL/2/RP
SDGE-2018-3245-10922627-9121377,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Candelabra: 3 to <4 Watt ,
SDGE-2018-3245-10922627-9121377S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Candelabra: 3 to <4 Watt ,
SDGE-2018-3245-10922627-9121378,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED globe: 3 to <4 Watts,G2540/927CA/FIL/3/RP
SDGE-2018-3245-10922627-9121378S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED globe: 3 to <4 Watts,G2540/927CA/FIL/3/RP
SDGE-2018-3245-10922627-9121379,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED globe: 5 to <6 Watts,
SDGE-2018-3245-10922627-9121379S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED globe: 5 to <6 Watts,
SDGE-2018-3245-10922627-9121380,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED PAR38: 15 to <16  Watts,PAR38DM/1400/930CA
SDGE-2018-3245-10922627-9121380S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED PAR38: 15 to <16  Watts,PAR38DM/1400/930CA
SDGE-2018-3245-10922627-9121381,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 12 to <13 Watts,
SDGE-2018-3245-10922627-9121381S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 12 to <13 Watts,
SDGE-2018-3245-10922627-9121382,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 6 to <7 Watts,R20DM/927CA
SDGE-2018-3245-10922627-9121382S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 6 to <7 Watts,R20DM/927CA
SDGE-2018-3245-10922627-9121383,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 7 to <8 Watts,
SDGE-2018-3245-10922627-9121383S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 7 to <8 Watts,
SDGE-2018-3245-10922627-9121384,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 9 to <10 Watts,
SDGE-2018-3245-10922627-9121384S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 9 to <10 Watts,
SDGE-2018-3245-10923375-9128009,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Can Retrofit: 11 to <12 Watts,LEDR56/927CA/MED/2
SDGE-2018-3245-10923375-9128009S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Can Retrofit: 11 to <12 Watts,LEDR56/927CA/MED/2
SDGE-2018-3245-10923375-9128010,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Can Retrofit: 9 to <10 Watts,
SDGE-2018-3245-10923375-9128010S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Can Retrofit: 9 to <10 Watts,
SDGE-2018-3245-10923375-9128011,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Candelabra: >=5 Watt ,BPCTC60950CAFIL/2/RP
SDGE-2018-3245-10923375-9128011S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Candelabra: >=5 Watt ,BPCTC60950CAFIL/2/RP
SDGE-2018-3245-10923375-9128012,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Candelabra: 3 to <4 Watt ,
SDGE-2018-3245-10923375-9128012S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED Candelabra: 3 to <4 Watt ,
SDGE-2018-3245-10923375-9128013,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED globe: 3 to <4 Watts,G2540W927CA/FIL/3/RP
SDGE-2018-3245-10923375-9128013S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED globe: 3 to <4 Watts,G2540W927CA/FIL/3/RP
SDGE-2018-3245-10923375-9128014,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED globe: 5 to <6 Watts,
SDGE-2018-3245-10923375-9128014S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED globe: 5 to <6 Watts,
SDGE-2018-3245-10923375-9128015,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED PAR38: 15 to <16  Watts,PAR38DM/1400/930CA
SDGE-2018-3245-10923375-9128015S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED PAR38: 15 to <16  Watts,PAR38DM/1400/930CA
SDGE-2018-3245-10923375-9128016,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 12 to <13 Watts,
SDGE-2018-3245-10923375-9128016S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 12 to <13 Watts,
SDGE-2018-3245-10923375-9128017,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 6 to <7 Watts,R20DM/927CA/3
SDGE-2018-3245-10923375-9128017S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 6 to <7 Watts,R20DM/927CA/3
SDGE-2018-3245-10923375-9128018,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 7 to <8 Watts,
SDGE-2018-3245-10923375-9128018S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 7 to <8 Watts,
SDGE-2018-3245-10923375-9128019,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED R/BR lamp: 9 to <10 Watts,
SDGE-2018-3245-10923375-9128019S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial LED R/BR lamp: 9 to <10 Watts,
SDGE-2018-3245-10926317-9163731,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10926317-9163731S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10926317-9163732,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10926317-9163732S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10926317-9163733,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10926317-9163733S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED R/BR lamp: 8 to <9 Watts,
SDGE-2018-3245-10926317-9163734,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 21 to <23 Watts,
SDGE-2018-3245-10926317-9163734S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 21 to <23 Watts,
SDGE-2018-3245-10929740-9196108,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10929740-9196108S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10929740-9196109,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10929740-9196109S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10929740-9196110,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,LED Can Retrofit: 10 to <11 Watts,
SDGE-2018-3245-10929740-9196110S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Cree Inc,Commercial LED Can Retrofit: 10 to <11 Watts,
